"date","partner","sector_group","values"
2020-01-01,"CN_X_HK","High-Tech & Strategic",167148
2020-01-01,"CN_X_HK","Traditional & Basic",109018
2020-01-01,"EU27_2020_NEA20","High-Tech & Strategic",207691
2020-01-01,"EU27_2020_NEA20","Traditional & Basic",103607
2020-01-01,"US","High-Tech & Strategic",107576
2020-01-01,"US","Traditional & Basic",31125
2020-01-01,"VN","High-Tech & Strategic",12085
2020-01-01,"VN","Traditional & Basic",11735
2020-02-01,"CN_X_HK","High-Tech & Strategic",116191
2020-02-01,"CN_X_HK","Traditional & Basic",87936
2020-02-01,"EU27_2020_NEA20","High-Tech & Strategic",211683
2020-02-01,"EU27_2020_NEA20","Traditional & Basic",105054
2020-02-01,"US","High-Tech & Strategic",108688
2020-02-01,"US","Traditional & Basic",30201
2020-02-01,"VN","High-Tech & Strategic",13472
2020-02-01,"VN","Traditional & Basic",9678
2020-03-01,"CN_X_HK","High-Tech & Strategic",122717
2020-03-01,"CN_X_HK","Traditional & Basic",63161
2020-03-01,"EU27_2020_NEA20","High-Tech & Strategic",201150
2020-03-01,"EU27_2020_NEA20","Traditional & Basic",103516
2020-03-01,"US","High-Tech & Strategic",122494
2020-03-01,"US","Traditional & Basic",32212
2020-03-01,"VN","High-Tech & Strategic",17613
2020-03-01,"VN","Traditional & Basic",8072
2020-04-01,"CN_X_HK","High-Tech & Strategic",144719
2020-04-01,"CN_X_HK","Traditional & Basic",96596
2020-04-01,"EU27_2020_NEA20","High-Tech & Strategic",129200
2020-04-01,"EU27_2020_NEA20","Traditional & Basic",75826
2020-04-01,"US","High-Tech & Strategic",101066
2020-04-01,"US","Traditional & Basic",25746
2020-04-01,"VN","High-Tech & Strategic",8537
2020-04-01,"VN","Traditional & Basic",7236
2020-05-01,"CN_X_HK","High-Tech & Strategic",150683
2020-05-01,"CN_X_HK","Traditional & Basic",127417
2020-05-01,"EU27_2020_NEA20","High-Tech & Strategic",151034
2020-05-01,"EU27_2020_NEA20","Traditional & Basic",85992
2020-05-01,"US","High-Tech & Strategic",81105
2020-05-01,"US","Traditional & Basic",21465
2020-05-01,"VN","High-Tech & Strategic",11217
2020-05-01,"VN","Traditional & Basic",7754
2020-06-01,"CN_X_HK","High-Tech & Strategic",158809
2020-06-01,"CN_X_HK","Traditional & Basic",112674
2020-06-01,"EU27_2020_NEA20","High-Tech & Strategic",193876
2020-06-01,"EU27_2020_NEA20","Traditional & Basic",98564
2020-06-01,"US","High-Tech & Strategic",88225
2020-06-01,"US","Traditional & Basic",24016
2020-06-01,"VN","High-Tech & Strategic",15716
2020-06-01,"VN","Traditional & Basic",9497
2020-07-01,"CN_X_HK","High-Tech & Strategic",163557
2020-07-01,"CN_X_HK","Traditional & Basic",121750
2020-07-01,"EU27_2020_NEA20","High-Tech & Strategic",192724
2020-07-01,"EU27_2020_NEA20","Traditional & Basic",100048
2020-07-01,"US","High-Tech & Strategic",89781
2020-07-01,"US","Traditional & Basic",24988
2020-07-01,"VN","High-Tech & Strategic",13413
2020-07-01,"VN","Traditional & Basic",10734
2020-08-01,"CN_X_HK","High-Tech & Strategic",142318
2020-08-01,"CN_X_HK","Traditional & Basic",102084
2020-08-01,"EU27_2020_NEA20","High-Tech & Strategic",171296
2020-08-01,"EU27_2020_NEA20","Traditional & Basic",97208
2020-08-01,"US","High-Tech & Strategic",83674
2020-08-01,"US","Traditional & Basic",24152
2020-08-01,"VN","High-Tech & Strategic",16307
2020-08-01,"VN","Traditional & Basic",9543
2020-09-01,"CN_X_HK","High-Tech & Strategic",157029
2020-09-01,"CN_X_HK","Traditional & Basic",110782
2020-09-01,"EU27_2020_NEA20","High-Tech & Strategic",223603
2020-09-01,"EU27_2020_NEA20","Traditional & Basic",113980
2020-09-01,"US","High-Tech & Strategic",98081
2020-09-01,"US","Traditional & Basic",31482
2020-09-01,"VN","High-Tech & Strategic",15684
2020-09-01,"VN","Traditional & Basic",9574
2020-10-01,"CN_X_HK","High-Tech & Strategic",163557
2020-10-01,"CN_X_HK","Traditional & Basic",101109
2020-10-01,"EU27_2020_NEA20","High-Tech & Strategic",233909
2020-10-01,"EU27_2020_NEA20","Traditional & Basic",117283
2020-10-01,"US","High-Tech & Strategic",91855
2020-10-01,"US","Traditional & Basic",27531
2020-10-01,"VN","High-Tech & Strategic",14713
2020-10-01,"VN","Traditional & Basic",9099
2020-11-01,"CN_X_HK","High-Tech & Strategic",188438
2020-11-01,"CN_X_HK","Traditional & Basic",91710
2020-11-01,"EU27_2020_NEA20","High-Tech & Strategic",245785
2020-11-01,"EU27_2020_NEA20","Traditional & Basic",117581
2020-11-01,"US","High-Tech & Strategic",96988
2020-11-01,"US","Traditional & Basic",26477
2020-11-01,"VN","High-Tech & Strategic",13604
2020-11-01,"VN","Traditional & Basic",8115
2020-12-01,"CN_X_HK","High-Tech & Strategic",180371
2020-12-01,"CN_X_HK","Traditional & Basic",85683
2020-12-01,"EU27_2020_NEA20","High-Tech & Strategic",222929
2020-12-01,"EU27_2020_NEA20","Traditional & Basic",102666
2020-12-01,"US","High-Tech & Strategic",88747
2020-12-01,"US","Traditional & Basic",25976
2020-12-01,"VN","High-Tech & Strategic",11708
