freq,stk_flow,indic_et,partner,sitc06,geo,TIME_PERIOD,values
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-01-01,1728.2
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-01-01,3397.1
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-01-01,14986.6
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-01-01,7504.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-01-01,3312.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-01-01,5271
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-01-01,17457
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-01-01,5089.7
M,IMP,TRD_VAL,US,SITC5,EA20,2020-01-01,4019.2
M,IMP,TRD_VAL,US,SITC6,EA20,2020-01-01,1151.1
M,IMP,TRD_VAL,US,SITC7,EA20,2020-01-01,6738.4
M,IMP,TRD_VAL,US,SITC8,EA20,2020-01-01,1961.4
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-01-01,18
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-01-01,169
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-01-01,1190.5
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-01-01,1004.5
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-02-01,1316.7
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-02-01,2821.8
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-02-01,10302.4
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-02-01,5971.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-02-01,3469.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-02-01,5448.1
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-02-01,17699
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-02-01,5057.3
M,IMP,TRD_VAL,US,SITC5,EA20,2020-02-01,3909.5
M,IMP,TRD_VAL,US,SITC6,EA20,2020-02-01,993.3
M,IMP,TRD_VAL,US,SITC7,EA20,2020-02-01,6959.3
M,IMP,TRD_VAL,US,SITC8,EA20,2020-02-01,2026.8
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-02-01,16.2
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-02-01,112.8
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-02-01,1331
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-02-01,855
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-03-01,1224.9
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-03-01,2329.3
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-03-01,11046.8
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-03-01,3986.8
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-03-01,3834.3
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-03-01,5512.5
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-03-01,16280.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-03-01,4839.1
M,IMP,TRD_VAL,US,SITC5,EA20,2020-03-01,4607.1
M,IMP,TRD_VAL,US,SITC6,EA20,2020-03-01,1014.9
M,IMP,TRD_VAL,US,SITC7,EA20,2020-03-01,7642.3
M,IMP,TRD_VAL,US,SITC8,EA20,2020-03-01,2206.3
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-03-01,15.4
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-03-01,139.2
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-03-01,1745.9
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-03-01,668
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-04-01,1723.3
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-04-01,5775.4
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-04-01,12748.6
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-04-01,3884.2
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-04-01,3247
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-04-01,4181
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC7,EA20,2020-04-01,9673
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC8,EA20,2020-04-01,3401.6
M,IMP,TRD_VAL,US,SITC5,EA20,2020-04-01,4602.5
M,IMP,TRD_VAL,US,SITC6,EA20,2020-04-01,859.6
M,IMP,TRD_VAL,US,SITC7,EA20,2020-04-01,5504.1
M,IMP,TRD_VAL,US,SITC8,EA20,2020-04-01,1715
M,IMP,TRD_VAL,VN,SITC5,EA20,2020-04-01,27.6
M,IMP,TRD_VAL,VN,SITC6,EA20,2020-04-01,173
M,IMP,TRD_VAL,VN,SITC7,EA20,2020-04-01,826.1
M,IMP,TRD_VAL,VN,SITC8,EA20,2020-04-01,550.6
M,IMP,TRD_VAL,CN_X_HK,SITC5,EA20,2020-05-01,1756.7
M,IMP,TRD_VAL,CN_X_HK,SITC6,EA20,2020-05-01,7742.7
M,IMP,TRD_VAL,CN_X_HK,SITC7,EA20,2020-05-01,13311.6
M,IMP,TRD_VAL,CN_X_HK,SITC8,EA20,2020-05-01,4999
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC5,EA20,2020-05-01,3096.7
M,IMP,TRD_VAL,EU27_2020_NEA20,SITC6,EA20,2020-05-01,4557
